ID,Responder,Group,Question,Score
46000Me - Richard,Me - Richard,Role Modelling,They act in ways that build respect and trust within the team,5
46000Me - Richard,Me - Richard,Role Modelling,They sacrifice their own personal gains for the good of the group when necessary,5
46000Me - Richard,Me - Richard,Role Modelling,They demonstrate high moral and ethical standards in their daily decisions.,5
46000Me - Richard,Me - Richard,Role Modelling,They display a sense of power and confidence that reassures others.,4
46000Me - Richard,Me - Richard,Role Modelling,They talk about their most important values and beliefs to ensure clarity.,4
46000Me - Richard,Me - Richard,Vision,They talk optimistically about the future and what we can accomplish,5
46000Me - Richard,Me - Richard,Vision,They talk enthusiastically about what needs to be accomplished.,5
46000Me - Richard,Me - Richard,Vision,They articulate a compelling vision of the future.,4
46000Me - Richard,Me - Richard,Vision,They express confidence that our goals will be achieved.,4
46000Me - Richard,Me - Richard,Vision,They help others find meaning and purpose in their work.,5
46000Me - Richard,Me - Richard,Innovation,They re-examine critical assumptions to question whether they are appropriate,5
46000Me - Richard,Me - Richard,Innovation,They seek differing perspectives when solving problems.,5
46000Me - Richard,Me - Richard,Innovation,They encourage others to look at problems from many different angles.,5
46000Me - Richard,Me - Richard,Innovation,They suggest new ways of looking at how to complete assignments. [,5
46000Me - Richard,Me - Richard,Innovation,They encourage non-traditional thinking to deal with traditional problems.,5
46000Me - Richard,Me - Richard,Coaching,They spend time teaching and coaching team members.,4
46000Me - Richard,Me - Richard,Coaching,"They treat each team member as an individual with different needs, abilities, and aspirations.",5
46000Me - Richard,Me - Richard,Coaching,They help team members to develop their strengths.,4
46000Me - Richard,Me - Richard,Coaching,They listen attentively to individual concerns and grievances.,5
46000Me - Richard,Me - Richard,Coaching,They recognize that different people need different types of motivation or support.,4
46000Me - Richard,Me - Richard,Seeing the Big Picture,"When there is a problem, they look for the root cause instead of just applying a quick fix.",5
46000Me - Richard,Me - Richard,Seeing the Big Picture,"They try to understand why people are resisting change (e.g., what they are afraid of losing).",3
46000Me - Richard,Me - Richard,Seeing the Big Picture,"When things get chaotic, they remind us of the main goal.",2
